Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,11.65523822,11.27143207,10.91277354,7.199751293,22.52775621,2.096288748,-2.163404438,3.814630326,16.59334672,7.301756477,4.822785476,0.56694454,2.447563008,5.102712888,1.947722642,0.791838824,..
Afghanistan,AFG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,..,..,..,11.65523822,11.27143207,10.91277354,7.199751293,22.52775621,2.096288748,-2.163404438,3.814630326,16.59334672,7.301756477,4.822785476,0.56694454,2.447563008,5.102712888,1.947722642,0.791838824,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.5170002,11.51299953,11.59599972,11.60400009,11.52799988,11.4289999,11.22399998,11.04599953,10.98499966,11.38700008,11.48400021,11.48799992,11.50800037,11.5340004,11.44799995,11.38700008,11.31299973,11.18400002,11.05700016,11.11800003
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,2.494499922,..,..,..,1.691900015,..,..,..,..,11.18360043,..,..
Afghanistan,AFG,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,13.79183198,20.48928559,20.950266,19.995894,15.33333121,14.77500279,13.62310398,12.53818218,12.7571158,13.12764725,13.34467559,13.38990019,13.37101824,..
Albania,ALB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,5.643782073,3.813932918,3.644149917,5.197105399,3.156943939,3.303491113,2.480665739,4.389899684,4.117184768,2.422646884,4.493105799,2.314785525,1.042426308,0.288750097,1.549878633,0.563959684,-0.632442184,1.474254498,0.948346996,..
Albania,ALB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,5.643782073,3.813932918,3.644149917,5.197105399,3.156943939,3.303491113,2.480665739,4.389899684,4.117184768,2.422646884,4.493105799,2.314785525,1.042426308,0.288750097,1.549878633,0.563959684,-0.632442184,1.474254498,0.948346996,..
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.57299995,16.56699944,16.67300034,16.68400002,16.58600044,16.45999908,16.19599915,15.9659996,13.06000042,13.67399979,14.08600044,13.48099995,13.3760004,15.86600018,17.48999977,17.07999992,15.22000027,13.75,12.34000015,12.33100033
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,16.79999924,16.39999962,15.80000019,15,14.39999962,14.10000038,13.80000019,15.96630001,13.05990028,13.67389965,14.08600044,13.48089981,13.37590027,15.86590004,17.48999977,17.07999992,..,13.75,..,..
Albania,ALB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,31.28899392,28.52419234,26.51030906,26.91029282,21.83127819,25.91106553,27.52049096,27.06972261,32.91496597,38.89582405,46.08195552,50.32289039,60.42789845,69.77286319,64.72463257,75.13363394,72.51720201,77.06150113,67.24429787,..
Algeria,DZA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,22.67237995,-0.468483335,1.319260741,8.338569612,12.24349634,16.12591717,10.54990317,6.393330261,15.30704553,-11.15752345,16.1151894,18.23099071,7.459101086,-0.095279718,-0.301033762,-6.455599671,1.548620374,4.698470541,7.556005987,..
Algeria,DZA,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,22.67237995,-0.468483335,1.319260741,8.338569612,12.24349634,16.12591717,10.54990317,6.393330261,15.30704553,-11.15752345,16.1151894,18.23099071,7.459101086,-0.095279718,-0.301033762,-6.455599671,1.548620374,4.698470541,7.556005987,..
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.20699978,11.20600033,10.20199966,11.99600029,11.88199997,11.70400047
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,29.77000046,27.29999924,25.89999962,23.71999931,17.64999962,15.27000046,12.27000046,13.78999996,11.32999992,10.15999985,9.960000038,9.960000038,10.97000027,9.819999695,10.20720005,11.20610046,10.20240021,13.56999969,..,..
Algeria,DZA,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,48.9002509,42.80878195,42.232331,36.35366734,27.41282689,17.42163294,5.261017549,4.61241819,3.67932862,5.460621453,4.514564121,3.064522649,2.688254095,2.555616827,2.639613175,2.892018398,3.44548785,3.459551885,3.216267375,..
American Samoa,ASM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,..,..,..,1.701221779,-3.366533814,-1.361674647,2.895669461,2.819807428,11.17476097,25.75488455,-15.4185022,-0.639031235,17.3495686,2.355602289,-0.781491478,1.533908459,1.447748904,-1.927102129,3.388922889,..
American Samoa,ASM,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,..,..,..,1.701221779,-3.366533814,-1.361674647,2.895669461,2.819807428,11.17476097,25.75488455,-15.4185022,-0.639031235,17.3495686,2.355602289,-0.781491478,1.533908459,1.447748904,-1.927102129,3.388922889,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.050000191,..,..,..,..,9.979999542,..,..,..,..,9.199999809,..,..,..,..,..,..,..,..,..
American Samoa,ASM,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,29.2262783,2.769518099,3.400407853,2.879863449,3.350368553,3.099596888,3.200492427,3.869810711,1.980073056,-1.38E-05,1.599942786,2.499867696,1.099913621,0.000360616,-0.100367069,-0.455465515,0.699897362,1.063769418,0.89599465,..
Andorra,AND,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,29.2262783,2.769518099,3.400407853,2.879863449,3.350368553,3.099596888,3.200492427,3.869810711,1.980073056,-1.38E-05,1.599942786,2.499867696,1.099913621,0.000360616,-0.100367069,-0.455465515,0.699897362,1.063769418,0.89599465,..
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,418.0189915,106.3521255,196.9841052,93.92685444,33.44017865,42.3755606,17.11809761,4.30841553,19.3699206,-16.76108205,31.6891692,31.77154279,7.255710281,2.839744164,3.560822793,-3.51839026,21.77429951,22.61450476,34.84487207,..
Angola,AGO,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,418.0189915,106.3521255,142.4782,93.92685444,33.44017865,42.3755606,17.11809761,4.30841553,19.3699206,-16.76108205,31.6891692,31.77154279,7.255710281,2.839744164,3.560822793,-3.51839026,21.77429951,22.61450476,34.84487207,..
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.836999893,3.835000038,3.871000051,3.875,3.842000008,3.799999952,3.711999893,3.637000084,3.611999989,3.782000065,9.430000305,7.361999989,7.379000187,7.400000095,7.330999851,7.282000065,7.22300005,7.118999958,7.019000053,6.886000156
Angola,AGO,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,23.6427002,..,..,..,..,3.782299995,9.430000305,7.362199783,..,..,..,..,..,..,..,..
Angola,AGO,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,131.0754887,119.0078134,66.73194488,56.56921424,46.45968869,37.1097748,21.40653859,20.69051543,20.71818904,31.77558843,35.13229902,33.26876042,37.62533243,43.32984978,41.60057532,51.02393293,59.6336017,44.44577146,53.99826311,..
Antigua and Barbuda,ATG,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,1.55207877,1.483864557,0.701495987,-0.963104283,1.641424974,4.46041552,0.408265975,3.738825165,4.38021371,1.788009653,1.517979287,1.015415194,2.035711982,-0.94654445,1.9115038,3.017503702,1.872387958,-0.931034324,2.164644216,..
Antigua and Barbuda,ATG,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,-1.19467032,1.483864557,0.701495987,-0.963104283,1.641424974,4.46041552,0.408265975,3.738825165,4.38021371,1.788009653,1.517979287,1.015415194,2.035711982,-0.94654445,1.9115038,3.017503702,1.872387958,-0.931034324,2.164644216,..
